S-Word;Val-Mn-All(Sentimientos);Aro-Mn-All (Intensidad)
alerta;3.69;7.58
cerdo;3.71;4.67
lento;3.71;4.27
oscuro;3.71;5.06
cieno;3.77;4.51
iglesia;3.77;4.31
monja;3.79;3.64
absurdo;3.80;4.90
serio;3.80;4.04
baston;3.83;4.09
vacilar;3.83;6.37
obedecer;3.84;5.28
pecado;3.92;5.54
nudo;3.96;4.76
pantano;3.97;4.81
indiferente;3.98;4.72
relampago;3.98;6.57
manosear;3.99;5.64
alergia;4.01;5.84
sobresaltado;4.01;7.59
callado;4.03;3.57
chiflado;4.03;5.59
sombra;4.03;4.57
corredor;4.08;5.50
oficina;4.09;4.64
ciempies;4.12;4.88
tormenta;4.14;6.10
venda;4.14;4.72
spray;4.17;4.78
timido;4.17;4.24
tijeras;4.18;5.00
cotilleo;4.19;5.72
tonteria;4.19;5.36
industria;4.21;4.83
maletero;4.21;4.19
silbato;4.21;5.81
devoto;4.22;4.16
esceptico;4.22;4.97
maquinilla;4.22;4.59
recogedor;4.22;4.28
acre;4.23;4.19
rana;4.23;4.81
duro;4.24;5.14
raro;4.24;4.99
paraguas;4.27;3.99
temperamental;4.27;6.14
termometro;4.28;4.49
morboso;4.29;6.36
pauelo;4.33;4.17
paciente;4.36;4.88
pasillo;4.37;4.47
deslumbramiento;4.38;6.02
maniqui;4.38;3.91
martillo;4.38;4.92
estomago;4.39;4.73
anhelo;4.42;5.27
craneo;4.42;4.94
golfista;4.43;4.33
recado;4.43;4.83
hierro;4.44;4.44
maquina;4.44;4.83
esquina;4.47;4.57
inquieto;4.47;6.83
arrepentido;4.50;5.14
reservado;4.50;3.91
autobus;4.51;5.00
cura;4.52;5.08
lluvia;4.52;4.43
cable;4.53;4.40
carro;4.53;4.18
rebelde;4.56;6.14
herramienta;4.58;4.51
solemne;4.58;4.31
codo;4.59;4.26
reverente;4.59;4.60
teoria;4.59;4.67
tobillo;4.60;4.33
tinta;4.62;4.69
taxi;4.64;4.71
vidrio;4.64;4.58
extraterrestre;4.66;5.87
olla;4.66;4.16
parte;4.66;4.52
